Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Contract Description,Match Confidence,Match Score,tango_piid,tango_description,pop_city,pop_state,pop_zip,pop_country,period_start,period_end,ultimate_completion,subawards_count,subawards_total,recipient_uei,recipient_name,naics_code,psc_code,set_aside,obligated,total_contract_value,parent_piid,parent_description,awarding_office,awarding_agency,funding_office
Justified (SAP Security),Justified,Air Force,SAIC (inferred),FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1,FA877319FA023,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,SAN ANTONIO,TEXAS,78243,UNITED STATES,2019-04-28,2025-10-27,2026-07-27,,,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,541330,R425,,"$39,874,973.53","$47,518,825.61",GS00Q14OADS129,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",FA8773 ACC 38 CONS,Department of the Air Force,67 CW
Justified SAP Security Contract (Hanscom/Bolling),needs-scrape,Air Force,Booz Allen Hamilton,47QFCA21F0018,"$1,379,603,153.12",ENTERPRISE LEVEL DATA OUSD(C) COMPTROLLER DEFENSE FINANCE,Low,0,47QFCA21F0018,"TASK ORDER (TO) 47QFCA21F0018 IS HEREBY AWARDED TO BOOZ ALLEN HAMILTON, INC. (BAH) TO PROVIDE ENTERPRISE LEVEL DATA TO THE OUSD(C), AND ITS STRATEGIC PARTNERS (I.E., DOD FOURTH ESTATE, DOD DEPARTMENTS, AND IC COMMUNITY).",WASHINGTON,DISTRICT OF COLUMBIA,20301,UNITED STATES,2021-03-09,2025-02-15,2025-05-15,1460,"$993,273,679.54",JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC,541512,DA01,,"$1,379,533,153.12","$1,602,230,952.00",47QTCK18D0004,"IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",GSA FAS AAS FEDSIM,Federal Acquisition Service,WASHINGTON HEADQUARTERS SERVICES
JWCC – ATAT Expansion Path,JWCC,DISA,AWS; Microsoft; Google; Oracle,W91CRB20F0448,"$290,537,976.81",GENERAL SERVICES JEDI JWCC CLOUD,High,4,W91CRB20F0448,AWARD OF 11 MONTH TASK ORDER FOR GENERAL SERVICES THROUGH 31 JULY 2021.,ABERDEEN PROVING GROUND,MARYLAND,21005,UNITED STATES,2020-09-01,2024-05-31,2024-05-31,83,"$44,444,302.06",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",541330,R425,,"$290,537,976.81","$315,913,231.03",W91CRB15D0018,IGF::OT::IGF ATC TEST SUPPORT SERVICES,W6QK ACC-APG,Department of the Army,W4QU USA ABERDEEN TEST CENTER
Kennedy Space Center BOSS,KSC BOSS,NASA,Jacobs / Amentum (past),NNK13MA14C,"$2,099,373,524.58",TEST AND OPERATIONS SUPPORT CONTRACT TOSC KENNEDY SPACE CENTER NASA,High,5,NNK13MA14C,"IGF::OT::IGF THE TEST AND OPERATIONS SUPPORT CONTRACT (TOSC) IS A COST-PLUS-AWARD-FEE CONTRACT WITH AN INDEFINITE DELIVERY INDEFINITE QUANTITY TASK ORDERING PROVISION. TOSC PROVIDES A PROCESSING CONTRACT FOR THE KENNEDY SPACE CENTER (KSC) SUPPORTING MULTIPLE CUSTOMERS. THE SCOPE OF THIS CONTRACT INCLUDES PROGRAM MANAGEMENT AND CONTROL; SAFETY AND MISSION ASSURANCE; INFORMATION MANAGEMENT; PROCESSING SUPPORT SYSTEMS AND INTEGRATION; FLIGHT HARDWARE PROCESSING; GROUND SYSTEMS OPERATIONS, MAINTENAN",ORLANDO,FLORIDA,32899,UNITED STATES,2013-03-01,2023-04-30,2023-04-30,1368,"$12,336,512,181.96",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",541712,AR36,NONE,"$2,099,373,524.58","$2,107,162,687.90",,,,,
LANL/NNSA VTC Engineering Support,LANL VTC,NSA,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,2,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
LANL/NNSA VTC Support,,NSA,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,2,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
LATERALUS (IC Space ISR),LATERALUS,NSA,Raytheon,N0001918C1021,"$8,688,654,906.89",F135 PROPULSION SYSTEMS LOT ENGINE PRATT WHITNEY,Low,0,N0001918C1021,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,EAST HARTFORD,CONNECTICUT,06118,UNITED STATES,2018-03-23,2024-12-30,2024-12-30,53,"$239,545,634.04",QN1BCFY7JDJ5,RTX CORPORATION,336412,2840,NONE,"$8,688,654,906.89","$7,936,627,479.45",,,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND
LATERALUS (Space ISR),LATERALUS,NSA,Raytheon,N0001918C1021,"$8,688,654,906.89",F135 PROPULSION SYSTEMS LOT ENGINE PRATT WHITNEY,Low,0,N0001918C1021,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,EAST HARTFORD,CONNECTICUT,06118,UNITED STATES,2018-03-23,2024-12-30,2024-12-30,53,"$239,545,634.04",QN1BCFY7JDJ5,RTX CORPORATION,336412,2840,NONE,"$8,688,654,906.89","$7,936,627,479.45",,,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND
LOGCAP V,LOGCAP V,Army,KBR; V2X; Fluor; Amentum,W52P1J19F0394,"$2,188,230,584.34",LOGISTIC CIVIL AUGMENTATION PROGRAM LOGCAP V EUCOM EUROPE,High,6,W52P1J19F0394,LOGISTIC CIVIL AUGMENTATION PROGRAM (LOGCAP) V AWARD FOR EUCOM PERFORMANCE TASK ORDER.,,,,POLAND,2019-04-12,2026-03-29,2026-03-29,5665,"$4,306,848,564.92",YSQMHRS4HSC5,"KELLOGG BROWN & ROOT SERVICES, INC.",561210,R706,,"$2,188,134,177.76","$2,497,475,473.12",W52P1J19D0044,AWARD OF BASIC IDIQ FOR LOGCAP V SERVICES,W4MM USA JOINT MUNITIONS CMD,Department of the Army,W0DA US ARMY SUSTAINMENT CMD
Logistics Civil Augmentation Program V (duplicate entry),LOGCAP V,Army,KBR; V2X; Fluor; Amentum,W52P1J19F0394,"$2,188,230,584.34",LOGISTIC CIVIL AUGMENTATION PROGRAM LOGCAP V EUCOM EUROPE,High,8,W52P1J19F0394,LOGISTIC CIVIL AUGMENTATION PROGRAM (LOGCAP) V AWARD FOR EUCOM PERFORMANCE TASK ORDER.,,,,POLAND,2019-04-12,2026-03-29,2026-03-29,5665,"$4,306,848,564.92",YSQMHRS4HSC5,"KELLOGG BROWN & ROOT SERVICES, INC.",561210,R706,,"$2,188,134,177.76","$2,497,475,473.12",W52P1J19D0044,AWARD OF BASIC IDIQ FOR LOGCAP V SERVICES,W4MM USA JOINT MUNITIONS CMD,Department of the Army,W0DA US ARMY SUSTAINMENT CMD
LRAAM (Long Range AAM),LRAAM,Air Force,Raytheon (indicative),FA861108C2896,"$3,648,685,783.01",F119 ENGINE LONG TERM SUSTAINMENT PROGRAM RAPTOR F-22,Medium,2,FA861108C2896,F119 ENGINE LONG TERM SUSTAINMENT PROGRAM FOR THE RAPTOR ENGINE (SPARE),EAST HARTFORD,CONNECTICUT,06118,UNITED STATES,2008-01-01,2022-05-31,2022-05-31,,,QN1BCFY7JDJ5,RTX CORPORATION,488190,J028,NONE,"$3,648,685,783.01","$2,506,922,643.37",,,FA8611 AFLCMC WAUK F22,Department of the Air Force,FA8611 AFLCMC WAUK F22
Managed IT Services (USTRANSCOM),MITS,DoD,SAIC,FA251822F0034,"$2,893,647.82",LOADING INTEGRATION ANALYSIS TACTICAL SOLUTIONS SATELLITE ENTERPRISE NETWORKS LITEN,Medium,1,FA251822F0034,LOADING INTEGRATION ANALYSIS AND TACTICAL SOLUTIONS FOR SATELLITE ENTERPRISE NETWORKS - 2 (LITEN-2),COLORADO SPRINGS,COLORADO,80912,UNITED STATES,2022-06-27,2026-06-28,2027-06-28,,,EMX1P81U9GG5,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",541512,R425,8A,"$2,893,647.82","$3,720,056.52",75N98119D00001,IGF::OT::IGF  IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,FA2518  USSF SPOC/SAIO,Department of the Air Force,FA3GL0 22 SOPS
Marine Corps Enterprise Network,MCEN,Marines,Leidos / GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
Mark 48 Heavyweight Torpedo,Mk-48,Navy,Raytheon (indicative),N0002422C5500,"$3,265,910,249.19",AN/SPY-6(V) HARDWARE PRODUCTION RADAR NAVY AEGIS,Medium,2,N0002422C5500,AN/SPY-6(V) HARDWARE PRODUCTION,ANDOVER,MASSACHUSETTS,01810,UNITED STATES,2022-03-31,2028-09-30,2028-09-30,857,"$1,431,067,054.28",YD6LTFVUZNG1,RAYTHEON COMPANY,334511,5840,NONE,"$3,265,910,249.19","$3,266,151,877.19",,,NAVSEA HQ,Department of the Navy,NAVSEA HQ
Mark-48 Torpedo (sub-program reference),Mark-48,Navy,Raytheon (indicative),N0002422C5500,"$3,265,910,249.19",AN/SPY-6(V) HARDWARE PRODUCTION RADAR NAVY AEGIS,Medium,2,N0002422C5500,AN/SPY-6(V) HARDWARE PRODUCTION,ANDOVER,MASSACHUSETTS,01810,UNITED STATES,2022-03-31,2028-09-30,2028-09-30,857,"$1,431,067,054.28",YD6LTFVUZNG1,RAYTHEON COMPANY,334511,5840,NONE,"$3,265,910,249.19","$3,266,151,877.19",,,NAVSEA HQ,Department of the Navy,NAVSEA HQ
MDA Tactical Embedded Systems,,MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2,HQ085621C0003,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",CHANDLER,ARIZONA,85286,UNITED STATES,2021-03-25,2028-12-31,2028-12-31,234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,541715,AC13,NONE,"$2,395,436,919.18","$3,936,086,486.00",,,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA)
MHS GENESIS (DHMSM),DHMSM,DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
MHS GENESIS / Leidos Partnership for Defense Health,LPDH,DoD,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Low,0,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
Mission Partner Environment,MPE,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,1,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
Mission Partner Environment (Field Ops / MPCO),MPE / MPCO,Air Force,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
Mission Partner Environment (successor to BICES),MPE,DoD,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,2,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
MOJAVE / ACADIA,,NGA,CACI (indicative),47QFCA20F0010,"$824,303,222.05",BEAGLE TASK ORDER AWARD BIOMETRICS,Medium,1,47QFCA20F0010,BEAGLE TASK ORDER AWARD,CHANTILLY,VIRGINIA,20151,UNITED STATES,2019-11-05,2024-09-29,2024-09-29,80,"$517,776,274.72",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541512,D318,,"$824,303,222.05","$2,289,684,446.00",47QTCK18D0009,"IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",GSA FAS AAS FEDSIM,Federal Acquisition Service,OFFICE OF INFORMATION AND TECHNOLOGY
MPCO VMOD (Voice Modernization),VMOD,Army,CACI (indicative),W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2,W15QKN15C0049,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",CHANTILLY,VIRGINIA,20151,UNITED STATES,2015-05-18,2025-06-02,2025-06-02,16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",541511,D307,NONE,"$733,720,754.55","$800,761,144.56",,,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS
MSS Smart Systems (Palantir contract),MSS,Army,Palantir,W911QX24F0113,"$70,668,314.50",MAVEN SMART SYSTEM MSS PRODUCTION LICENSES AI,High,6,W911QX24F0113,TASK ORDER OFF A COMMERCIAL SOLUTIONS OPENING (CSO) FOR RESEARCH AND DEVELOPMENT FOR MAVEN SMART SYSTEM (MSS) PRODUCTION LICENSES.,PALO ALTO,CALIFORNIA,94301,UNITED STATES,2024-09-27,2026-03-31,2026-03-31,,,HNN4F9JZWDY8,PALANTIR USG INC,541715,AC35,,"$70,668,314.50","$71,298,304.90",W911QX24D0026,COMMERCIAL SOLUTIONS OPENING (CSO) FOR RESEARCH AND DEVELOPMENT FOR MAVEN SMART SYSTEM (MSS) PRODUCTION LICENSES.,W6QK ACC-APG ADELPHI,Department of the Army,0007 HQ HQ     USAREUR-AF AUG
Multi-Mission Command & Control,M2C2,MDA,Lockheed Martin / Raytheon,N0001902C3002,"$34,173,959,111.96",JSF AIRCRAFT F-35 JOINT STRIKE FIGHTER SYSTEM DEVELOPMENT,Medium,1,N0001902C3002,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD             !FORT WORTH          !TX!76108!27000!439!48!FORT WORTH          !TARRANT               !TEXAS     !+000026000000!N!N!018981928201!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1A!AIRFRAMES AND SPARES          !2AMA!JAST/JSF                      !336411!E! !3! ! ! ! ! !99990909!B,FORT WORTH,TEXAS,76108,UNITED STATES,2001-10-26,2022-12-16,2022-12-16,,,G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,336411,AC15,NONE,"$34,132,618,954.26","$29,488,513,800.00",,,,,
NARSIL,NARSIL,DoD,Peraton (indicative),47QFCA19F0033,"$487,767,432.14",ARCYBER CYBERSPACE OPS REQUIREMENT ARMY CYBER INFORMATION ADVANTAGE,Medium,1,47QFCA19F0033,IGF::OT::IGF TASK ORDER AWARD FOR ARCYBER CYBERSPACE OPS REQUIREMENT,FORT GEORGE G MEADE,MARYLAND,20755,UNITED STATES,2019-02-11,2024-02-11,2024-02-11,100,"$712,544,395.30",CJ38H41QMGA1,PERATON TECHNOLOGY SERVICES INC.,541330,R499,,"$487,767,432.14","$1,594,002,704.48",GS00Q14OADU128,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",GSA FAS AAS FEDSIM,Federal Acquisition Service,W6UX US ARMY CYBER COMMAND
NARSIL – Advanced Research for System Intelligence & Learning,NARSIL,IC,Peraton,80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,Medium,1,80GSFC19C0063,THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVIDING INNOVATIVE AND MISSION-EFFECTIVE SPACE COMMUNICATIONS AND NAVIGATION SOLUTIONS TO A LARGE COMMUNITY OF DIVERSE CUSTOMERS.  ESC MANAGES OPERATIONAL GEOSTATIONARY COMMUNICATIONS RELAY SATELLITES AND GROUND SYSTEMS FOR THE SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM AT NASA HEADQUARTERS.  TO,HERNDON,VIRGINIA,20170,UNITED STATES,2019-10-01,2026-03-31,2026-03-31,1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,517919,D318,NONE,"$1,414,704,681.90","$1,800,000,000.00",,,NASA GODDARD SPACE FLIGHT CENTER,National Aeronautics and Space Administration,NASA GODDARD SPACE FLIGHT CENTER
NASA Enterprise Service Support Technology,NESST,NASA,SAIC / Leidos (indicative),NNJ09HD46C,"$1,306,805,321.14",FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT FDOC NASA MISSION OPERATIONS HUMAN SPACE FLIGHT,Medium,2,NNJ09HD46C,"THE FACILITIES DEVELOPMENT AND OPERATIONS CONTRACT(FDOC) SPECIFIES TECHNICAL, MANAGERIAL, AND ADMINSTRATIVE WORK NEEDED TO ENSURE THE AVAILABLITITY, INTEGRITY, AND RELIABILITY OF MISSIONOPERATIONS FACILITES SUPPORTING NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) HUMAN SPACE FLIGHT (HSF) PROGRAMS REQUIRING MISSION OPERATIONS SUPPORT. THE OBJECTIVE OF THIS CONTRACT IS TO CONSOLIDATE EFFORTS ACROSS THE FACILITIES COVERED UNDER FODOC IN ORDER TO MAXIMIZE SYNERGY FOR HARDWARE AND SOFTWARE DEV",HOUSTON,TEXAS,77058,UNITED STATES,2008-11-07,2018-02-28,2018-02-28,,,NTWCWULE48A8,LOCKHEED MARTIN CORPORATION,541712,AR45,NONE,"$1,306,805,321.14","$1,464,453,127.00",,,,,
NASA SENSE (Space Comms & Tracking),SENSE,NASA,Peraton,80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,High,4,80GSFC19C0063,THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVIDING INNOVATIVE AND MISSION-EFFECTIVE SPACE COMMUNICATIONS AND NAVIGATION SOLUTIONS TO A LARGE COMMUNITY OF DIVERSE CUSTOMERS.  ESC MANAGES OPERATIONAL GEOSTATIONARY COMMUNICATIONS RELAY SATELLITES AND GROUND SYSTEMS FOR THE SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM AT NASA HEADQUARTERS.  TO,HERNDON,VIRGINIA,20170,UNITED STATES,2019-10-01,2026-03-31,2026-03-31,1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,517919,D318,NONE,"$1,414,704,681.90","$1,800,000,000.00",,,NASA GODDARD SPACE FLIGHT CENTER,National Aeronautics and Space Administration,NASA GODDARD SPACE FLIGHT CENTER
NASA Space Network Evolution,SENSE,NASA,Peraton,80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,High,5,80GSFC19C0063,THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVIDING INNOVATIVE AND MISSION-EFFECTIVE SPACE COMMUNICATIONS AND NAVIGATION SOLUTIONS TO A LARGE COMMUNITY OF DIVERSE CUSTOMERS.  ESC MANAGES OPERATIONAL GEOSTATIONARY COMMUNICATIONS RELAY SATELLITES AND GROUND SYSTEMS FOR THE SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM AT NASA HEADQUARTERS.  TO,HERNDON,VIRGINIA,20170,UNITED STATES,2019-10-01,2026-03-31,2026-03-31,1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,517919,D318,NONE,"$1,414,704,681.90","$1,800,000,000.00",,,NASA GODDARD SPACE FLIGHT CENTER,National Aeronautics and Space Administration,NASA GODDARD SPACE FLIGHT CENTER
NAVAIR Flight Operations Support,NAVAIR Flight Ops,Navy,Vertex Aerospace,NNK13MA14C,"$2,099,373,524.58",TEST AND OPERATIONS SUPPORT CONTRACT TOSC KENNEDY SPACE CENTER NASA,Medium,1,NNK13MA14C,"IGF::OT::IGF THE TEST AND OPERATIONS SUPPORT CONTRACT (TOSC) IS A COST-PLUS-AWARD-FEE CONTRACT WITH AN INDEFINITE DELIVERY INDEFINITE QUANTITY TASK ORDERING PROVISION. TOSC PROVIDES A PROCESSING CONTRACT FOR THE KENNEDY SPACE CENTER (KSC) SUPPORTING MULTIPLE CUSTOMERS. THE SCOPE OF THIS CONTRACT INCLUDES PROGRAM MANAGEMENT AND CONTROL; SAFETY AND MISSION ASSURANCE; INFORMATION MANAGEMENT; PROCESSING SUPPORT SYSTEMS AND INTEGRATION; FLIGHT HARDWARE PROCESSING; GROUND SYSTEMS OPERATIONS, MAINTENAN",ORLANDO,FLORIDA,32899,UNITED STATES,2013-03-01,2023-04-30,2023-04-30,1368,"$12,336,512,181.96",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",541712,AR36,NONE,"$2,099,373,524.58","$2,107,162,687.90",,,,,
Navy Aegis Combat System Modernization,AEGIS,Navy,Lockheed Martin,N0001917C0001,"$35,135,514,910.20",F-35 LRIP LOT 12 ADVANCE ACQUISITION LIGHTNING II JOINT STRIKE FIGHTER JSF,Medium,1,N0001917C0001,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,FORT WORTH,TEXAS,76108,UNITED STATES,2017-11-17,2031-03-31,2031-03-31,12781,"$19,006,059,279.59",G4KDGE4JFFK7,LOCKHEED MARTIN CORPORATION,336411,1510,NONE,"$35,135,514,910.20","$45,265,737,305.46",,,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND
Navy Enterprise Service Desk,NESD,Navy,Leidos,89243318CFE000003,"$960,260,804.00",RESEARCH SUPPORT SERVICES (RSS) DOE ENERGY,Medium,1,89243318CFE000003,RESEARCH SUPPORT SERVICES (RSS),MORGANTOWN,WEST VIRGINIA,26507,UNITED STATES,2018-12-31,2028-12-30,2028-12-30,2244,"$2,744,055,450.08",MYKLJHTX3MM7,"LEIDOS, INC.",541715,R425,NONE,"$960,260,804.00","$1,200,000,000.00",,,NATIONAL ENERGY TECHNOLOGY LABORATORY,Department of Energy,FOSSIL ENERGY AND CARBON MANAGEMENT
