acronym,program_name,piid,prime_contractor,total_contract_value,obligated,agency,department,clearance,city,state,locations,typical_roles,functional_areas,naics_code,naics_description,psc_code,pop_start,pop_end,bd_score,bd_status,contact_coverage,sub_count,staffing_firms_present,greenfield_type,discovery_strategy,data_sources
DARPA,DARPA RESEARCH PROJECT,HR001124C0304,LOCKHEED MARTIN CORPORATION,592438303,407392312.2,Defense Advanced Research Projects Agency,Department of Defense,,PALMDALE,CALIFORNIA,,,,541715,,AC13,10/17/2023,1/16/2027,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
ALR,ALR 56C,SPRWA119F0049,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,453253549.6,453253549.6,Defense Logistics Agency,Department of Defense,,TOTOWA,NEW JERSEY,,,,334419,,5865,9/23/2019,6/30/2026,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
,,W31P4Q04C0046,Raytheon/Lockheed Martin Javelin JV,391223316.7,417890471,Department of the Army,Department of Defense,,TUCSON,ARIZONA,,,,336414,,AC24,1/25/2004,6/30/2026,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
ALE-70,ALE-70 PRODUCTION,N0001919C0001,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,379679807.3,379643050.7,Department of the Navy,Department of Defense,,NASHUA,NEW HAMPSHIRE,,,,334511,,5865,8/20/2019,3/31/2026,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
FY23,FY23/24 ANTPY-2 O&S TO AWARD,HQ086223F0003,RAYTHEON COMPANY,361985852.4,304224924,Missile Defense Agency,Department of Defense,,WOBURN,MASSACHUSETTS,,,,811219,,L058,11/1/2022,10/31/2026,66,WARM LEAD,PRIME ONLY,22,,,S4_EXPIRING,DISCOVERY
CLIN,CLIN 0001 XBR O&S,HQ086221F0002,RAYTHEON COMPANY,341300133,282724732.1,Missile Defense Agency,Department of Defense,,WOBURN,MASSACHUSETTS,,,,811219,,J058,11/1/2020,10/31/2026,66,WARM LEAD,PRIME ONLY,20,,,S4_EXPIRING,DISCOVERY
FY2025,FY2025 SEAHAWK PBL PERFORMANCE ORDER,N0038325F0W00,LOCKHEED MARTIN CORPORATION,329023880.8,329023880.8,Department of the Navy,Department of Defense,,OWEGO,NEW YORK,,,,336413,,1680,10/1/2024,3/31/2026,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
MULTI,MULTI SITE SUPPLEMENTAL LABOR TASK ORDER,W911RQ23F0020,"AMENTUM SERVICES, INC.",327366228.2,313020404,Department of the Army,Department of Defense,,TEXARKANA,TEXAS,,,,811111,,J023,1/16/2023,7/15/2026,66,WARM LEAD,PRIME ONLY,0,,,S4_EXPIRING,DISCOVERY
SPIRAL,"SPIRAL 8.2-7 SOFTWARE DEVELOPMENT - DEVELOP AND DEPLOY THE COMMAND AND CONTROL, BATTLE MANAGEMENT AND COMMUNICATIONS (C2BMC) CAPABILITY IN MULTIPLE PHASES THROUGH FY 2024 AND PLANNING FOR FUTURE BMDS INCREMENTS.",HQ085221F0006,LOCKHEED MARTIN CORPORATION,298437808,290437985.1,Missile Defense Agency,Department of Defense,,COLORADO SPRINGS,COLORADO,,,,541511,,AC13,4/9/2021,9/30/2026,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
BASE,BASE ENGINEERING SERVICE AWARD.,W31P4Q19C0038,Raytheon/Lockheed Martin Javelin JV,296599744.7,311284310.9,Department of the Army,Department of Defense,,TUCSON,ARIZONA,,,,336414,,R425,12/11/2018,9/30/2026,66,WARM LEAD,DEEP,12,,,S4_EXPIRING,DISCOVERY
MICROSOFT,MICROSOFT CONSULTING SERVICES (MCS) AND MICROSOFT PREMIER SUPPORT (MPS) FOR THE UNITED STATES MARINE CORPS (USMC.,HC102822F0982,Microsoft Corporation,294519161.6,220001168.2,Defense Information Systems Agency,Department of Defense,,QUANTICO,VIRGINIA,,,,541512,,R425,9/30/2022,9/29/2026,66,WARM LEAD,PRIME ONLY,0,,,S4_EXPIRING,DISCOVERY
STOKER,STOKER 3.0 DO ON JDAM IDIQ FA8213-24-D-B002,FA821324FB030,THE BOEING COMPANY,268470000,268470000,Department of the Air Force,Department of Defense,,SAINT LOUIS,MISSOURI,,,,332993,,1325,9/30/2024,9/30/2026,66,WARM LEAD,DEEP,10,,,S4_EXPIRING,DISCOVERY
USS,USS GREEN BAY (LPD 20) FY25 DSRA,N0002425C4411,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,253037110.2,249283720.8,Department of the Navy,Department of Defense,,SAN DIEGO,CALIFORNIA,,,,336611,,J999,11/22/2024,12/1/2026,66,WARM LEAD,DEEP,25,,,S4_EXPIRING,DISCOVERY
ROADRUNNER,"ROADRUNNER, ANVIL AND QUASAR PACKAGES",H9240224F0057,"ANDURIL INDUSTRIES, INC.",249978466.4,249978466.4,U.S. Special Operations Command,Department of Defense,,IRVINE,CALIFORNIA,,,,334511,,5340,8/31/2024,3/31/2026,66,WARM LEAD,PRIME ONLY,0,,,S4_EXPIRING,DISCOVERY
B-1,B-1   B-52 ENGINEERING SERVICES (BBES),FA810720F1007,"BOEING COMPANY, THE",237411036.4,237411036.4,Department of the Air Force,Department of Defense,,OKLAHOMA CITY,OKLAHOMA,,,,336411,,R425,7/1/2020,3/31/2026,66,WARM LEAD,DEEP,1,,,S4_EXPIRING,DISCOVERY
FY23,FY23 OMNIBUS CONTRACT AWARD NAVIGATION,N0003023C6045,LOCKHEED MARTIN CORPORATION,226408010,319740322,Department of the Navy,Department of Defense,,UNIONDALE,NEW YORK,,,,541330,,1427,10/1/2022,9/30/2026,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
ADVANCED,THE ADVANCED TECHNOLOGY SUPPORT PROGRAM (ATSP) CONTRACT ACQUIRES PROGRESSIVE MICROELECTRONIC CAPABILITY SOLUTIONS FOR ADVANCED TECHNOLOGY MAINTAINABILITY OF THE MICROELECTRONICS-BASED COUNTER UNMANNED AIRCRAFT SYSTEM,HQ072724F1610,RAYTHEON COMPANY,216902654,216902654,Defense Microelectronics Activity,Department of Defense,,TUCSON,ARIZONA,,,,541330,,AC13,8/27/2024,12/31/2026,66,WARM LEAD,PRIME ONLY,9,,,S4_EXPIRING,DISCOVERY
NON-RECURRING,NON-RECURRING ENGINEERING (NRE)FOR V-22 FLIGHT CONTROL SYSTEM.,N0001921F0327,BELL BOEING JOINT PROJECT OFFICE,209424516.5,194424516.5,Department of the Navy,Department of Defense,,AMARILLO,TEXAS,,,,336413,,1510,9/30/2021,6/30/2026,66,WARM LEAD,DEEP,1,,,S4_EXPIRING,DISCOVERY
TPY-2,US AN/TPY-2 DEVELOPMENT,HQ086223F0001,RAYTHEON COMPANY,208762879.6,179942111.7,Missile Defense Agency,Department of Defense,,WOBURN,MASSACHUSETTS,,,,334511,,AC25,11/1/2022,10/31/2026,66,WARM LEAD,PRIME ONLY,46,,,S4_EXPIRING,DISCOVERY
UAE,UAE TA,SPRBL121F0059,RAYTHEON COMPANY,205839539.8,205839539.8,Defense Logistics Agency,Department of Defense,,ANDOVER,MASSACHUSETTS,,,,334511,,J014,8/1/2021,7/31/2026,66,WARM LEAD,PRIME ONLY,0,,,S4_EXPIRING,DISCOVERY
SCAAP,SCAAP PRODUCTION BASED SUPPORT FOR UNIVERSAL ARTILLERY PROJECTILE LINE C AWARDED AS A UCA,W519TC23F0243,"GENERAL DYNAMICS OTS (WILKES BARRE), LLC",187093492,150516821,Department of the Army,Department of Defense,,WILKES BARRE,PENNSYLVANIA,,,,561210,,M1EA,6/12/2023,3/3/2026,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
SAUDI,SAUDI F-15SA FLEET MODERNIZATION SIMULATOR LINE,FA862113C6256,LOCKHEED MARTIN CORPORATION,185274876.5,185214961.5,Department of the Air Force,Department of Defense,,ORLANDO,FLORIDA,,,,336413,,6930,12/31/2012,9/30/2026,66,WARM LEAD,DEEP,46,,,S4_EXPIRING,DISCOVERY
NETWORK,NETWORK OPERATION SECURITY CENTER SUPPORT SERVICES FOR 9 AF AFCENT,FA489021F0010,"CACI NSS, LLC",178416274.3,154174329.1,Department of the Air Force,Department of Defense,,SHAW AFB,SOUTH CAROLINA,,,,517110,,D399,10/20/2020,4/2/2026,66,WARM LEAD,DEEP,4,,,S4_EXPIRING,DISCOVERY
TRANSITION,TRANSITION PHASE-IN,N0042123F0600,"AMENTUM SERVICES, INC.",173266644.7,151330501.6,Department of the Navy,Department of Defense,,CHANTILLY,VIRGINIA,,,,488190,,J015,7/2/2023,8/30/2026,66,WARM LEAD,PRIME ONLY,21,,,S4_EXPIRING,DISCOVERY
FY22,FY22 U-2 SUPPORT AND SUSTAINMENT   PROGRAMMED DEPOT MAINTENANCE (ORDERING PERIOD 4),FA852822F0044,LOCKHEED MARTIN CORPORATION,158489398,153327754.9,Department of the Air Force,Department of Defense,,PALMDALE,CALIFORNIA,,,,336411,,R425,4/1/2022,4/30/2026,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
,CONSOLIDATION AND FOLLOW-ON TO 22C1003 AND 22C1005. FY24 FIRE CONTROL OMNIBUS.,N0003024C1005,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",155915398,795960453.7,,,,,,,,Engineering Services,,,,,,66,WARM LEAD,DEEP,193,,WARM,S3_PRIME_DEEP_DIVE,"DISCOVERY,GREENFIELD"
DEAMS,DEAMS SYSTEM INTEGRATION AND AGILE DEVELOPMENT,FA877021FB002,"CACI-ISS, LLC",148457888,146988383.6,Department of the Air Force,Department of Defense,,DAYTON,OHIO,,,,541519,,DA01,8/6/2021,12/29/2026,66,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
LARGE,LARGE AIRCRAFT INFRARED COUNTERMEASURES ACQUISITION SUSTAINMENT ENGINEERING REQUIREMENTS CROSS FUNCTIONAL,FA863820F0042,NORTHROP GRUMMAN SYSTEMS CORPORATION,115632903,154828577.7,Department of the Air Force,Department of Defense,,ROLLING MEADOWS,ILLINOIS,,,,334419,,5865,5/22/2020,4/30/2026,66,WARM LEAD,DEEP,1,,,S4_EXPIRING,DISCOVERY
DESIGN,"TAS::80 0124::TAS DESIGN, DEVELOPMENT, TEST&EVALUATION OF PROJECT ORION",NNJ06TA25C,LOCKHEED MARTIN CORP,16064596124,15502629330,,,,LITTLETON,COLORADO,,,,541710,,AR33,9/6/2006,9/30/2026,65,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
,NCI OPERATIONAL TASK ORDER,75N91020F00003,LEIDOS BIOMEDICAL RESEARCH INC,1782770324,1775391302,,,TS/SCI w/ Poly,,,,,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,65,WARM LEAD,DEEP,142,,WARM,S3_PRIME_DEEP_DIVE,"DISCOVERY,MASTER,GREENFIELD"
PRODUCTION,PRODUCTION AND SUPPORT EFFORTS FOR 40 SELF PROPELLED HOWITZER SYSTEM VEHICLE SETS,W912CH24F0170,BAE SYSTEMS LAND & ARMAMENTS L.P.,797925963.2,484423327.2,Department of the Army,Department of Defense,,YORK,PENNSYLVANIA,,,,336992,,2350,7/3/2024,9/30/2027,65,WARM LEAD,DEEP,150,,,S4_EXPIRING,DISCOVERY
,COMMUNICATION AND INFORMATION TECHNOLOGY SERVICES III,47QFMA19F0013,"CACI, INC. - FEDERAL",722569951.9,674944916.8,,,,,,,,IT Services,,,,,,65,WARM LEAD,DEEP,577,,WARM,S3_PRIME_DEEP_DIVE,"DISCOVERY,GREENFIELD"
PHASE,PHASE 3 AND 4 DEVELOPMENT WITH 7 PROTOTYPE DELIVERABLES OF THE OPTIONALLY MANNED FIGHTING VEHICLE.,W56HZV23C0025,GENERAL DYNAMICS LAND SYSTEMS INC.,677963730.5,528345042.5,Department of the Army,Department of Defense,,STERLING HEIGHTS,MICHIGAN,,,,336992,,2350,6/26/2023,12/25/2027,65,WARM LEAD,DEEP,91,,,S4_EXPIRING,DISCOVERY
LOT,LOT 20 DELIVERY ORDER ALL-UP-ROUNDS,FA821324FB016,THE BOEING COMPANY,622759047.7,515132853.5,Department of the Air Force,Department of Defense,,SAINT LOUIS,MISSOURI,,,,332993,,1325,9/30/2024,4/30/2027,65,WARM LEAD,DEEP,10,,,S4_EXPIRING,DISCOVERY
GLOBAL,GLOBAL POSITIONING SYSTEM (GPS) IIIA,FA880708C0010,LOCKHEED MARTIN CORPORATION,601094217.4,4538050445,Department of the Air Force,Department of Defense,,NEWTOWN,PENNSYLVANIA,,,,336414,,1810,5/15/2008,7/23/2027,65,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
BASE,BASE YEAR - SHIP INTEGRATION AND ENG.,N0002415C5151,LOCKHEED MARTIN CORPORATION,563881742.7,468753996.4,Department of the Navy,Department of Defense,,MOORESTOWN,NEW JERSEY,,,,334511,,5840,9/4/2015,9/3/2027,65,WARM LEAD,DEEP,233,,,S4_EXPIRING,DISCOVERY
AWARD,AWARD AND IF,47QFCA19F0028,DELOITTE CONSULTING LLP,506153397,448599121,Federal Acquisition Service,General Services Administration,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541512,,R499,9/27/2019,9/26/2026,65,WARM LEAD,PRIME ONLY,44,,,S4_EXPIRING,DISCOVERY
KOREA,"KOREA BATCH II AEGIS COMBAT SYSTEM K2 BASELINES ENGINEERING, TEST AND EVALUATION, INSTALLATION, STAGING, AND INTEGRATED LOGISTICS SUPPORT",N0002419C5102,LOCKHEED MARTIN CORPORATION,497820783.4,418755522.4,Department of the Navy,Department of Defense,,MOORESTOWN,NEW JERSEY,,,,334511,,5840,10/30/2018,12/31/2027,65,WARM LEAD,DEEP,292,,,S4_EXPIRING,DISCOVERY
NON-RECURRING,NON-RECURRING ENGINEERING IN SUPPORT OF THE IMPLEMENTATION OF ECP 6 CAPABILITIES INTO THE P-8 PLATFORM,N0001920F0647,THE BOEING COMPANY,496738802,455634108.8,Department of the Navy,Department of Defense,,SEATTLE,WASHINGTON,,,,336411,,1680,5/6/2020,12/31/2027,65,WARM LEAD,DEEP,173,,,S4_EXPIRING,DISCOVERY
JAPAN,JAPAN AWACS MISSION COMPUTING UPGRADE (MCU) INSTALLATION&CHECKOUT (I&CO),FA873018C0001,THE BOEING COMPANY,447034178.9,235469877,Department of the Air Force,Department of Defense,,OKLAHOMA CITY,OKLAHOMA,,,,336413,,5895,2/12/2018,9/3/2027,65,WARM LEAD,DEEP,214,,,S4_EXPIRING,DISCOVERY
F-15,F-15 CD&I OFP,FA863423F0400,THE BOEING COMPANY,444351008.5,340810299.3,Department of the Air Force,Department of Defense,,SAINT LOUIS,MISSOURI,,,,336411,,1510,9/30/2022,7/31/2027,65,WARM LEAD,DEEP,83,,,S4_EXPIRING,DISCOVERY
TAIWAN,TAIWAN SURVEILLANCE RADAR PROGRAM FOLLOW ON SUPPORT 3,FA873023C0003,RAYTHEON COMPANY,422810697,420389998.2,Department of the Air Force,Department of Defense,,WOBURN,MASSACHUSETTS,,,,334511,,DE01,1/1/2023,12/31/2027,65,WARM LEAD,PRIME ONLY,156,,,S4_EXPIRING,DISCOVERY
UKRAINE,UKRAINE TELE MAINTENANCE DISTRIBUTION CENTER -. MAINTENANCE AND CLASS IX PARTS.,W56HZV23F0077,"AMENTUM SERVICES, INC.",353326840.3,229524986.6,Department of the Army,Department of Defense,,,,,,,811111,,L023,12/5/2022,12/4/2027,65,WARM LEAD,PRIME ONLY,158,,,S4_EXPIRING,DISCOVERY
BACN,BACN PAYLOAD OPERATIONS AND SUSTAINMENT SUPPORT - BOSS IDIQ TASK ORDER 10,FA229124FB011,Northrop Grumman Systems Corporation,293694239.3,189459141,Department of the Air Force,Department of Defense,,SAN DIEGO,CALIFORNIA,,,,488190,,J015,4/24/2024,10/31/2027,65,WARM LEAD,DEEP,110,,,S4_EXPIRING,DISCOVERY
SEPV3,SEPV3 ABRAM FAMILY OF VEHICLES,W56HZV24F0149,GENERAL DYNAMICS LAND SYSTEMS INC.,292155765.2,292155765.2,Department of the Army,Department of Defense,,STERLING HEIGHTS,MICHIGAN,,,,336992,,2350,3/6/2024,8/31/2027,65,WARM LEAD,DEEP,135,,,S4_EXPIRING,DISCOVERY
MODERNIZED,MODERNIZED TARGET ACQUISITION DESIGNATION SIGHT/PILOT NIGHT VISION SENSOR (M-TADS/PNVS) SYSTEMS - AUSTRALIA,W58RGZ23F0149,LOCKHEED MARTIN CORPORATION,277417422.5,182951925.5,Department of the Army,Department of Defense,,ORLANDO,FLORIDA,,,,336413,,2995,12/14/2022,11/30/2027,65,WARM LEAD,DEEP,474,,,S4_EXPIRING,DISCOVERY
INDUSTRIAL,INDUSTRIAL ENGINEERING SERVICES (IES) IN SUPPORT OF ALL STRATEGIC AND OPERATIONAL ROCKETS AND MISSILES (STORM) PROJECT OFFICE WEAPON SYSTEMS.,W31P4Q24C0007,LOCKHEED MARTIN CORPORATION,273721452,196413482.3,Department of the Army,Department of Defense,,GRAND PRAIRIE,TEXAS,,,,541330,,R425,11/29/2023,5/6/2027,65,WARM LEAD,DEEP,36,,,S4_EXPIRING,DISCOVERY
TPVS / BISS,CUSTOM AND BORDER PROTECTION'S TARGETING AND ANALYSIS SYSTEMS PROGRAM DIRECTORATE (TASPD)'S BUSINESS INTELLIGENCE SUPPORT SERVICES (BISS) REQUIREMENTS CONTRACT,70B04C20F00001357,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",272525309,251830777.5,U.S. Customs and Border Protection,Department of Homeland Security,"TS/SCI, Top Secret",HERNDON,VIRGINIA,TS (some SCI),“ManTech Data Scientist SME… TPVS/BISS… Ashburn”,,541512,Computer Systems Design Services,D399,9/26/2021,9/25/2026,65,WARM LEAD,PRIME ONLY,32,,,S4_EXPIRING,"DISCOVERY,MASTER,TANGO"
CDS,CDS SUSTAINMENT - BASE YEAR AND 5-YEAR SUPPORT FOR ACURL AND NIRL SURROGATE ENCRYPTIONS,N0001922C0046,LOCKHEED MARTIN CORPORATION,267301403,158816816,Department of the Navy,Department of Defense,,EGLIN AFB,FLORIDA,,,,334511,,AC15,4/29/2022,4/30/2027,65,WARM LEAD,DEEP,64,,,S4_EXPIRING,DISCOVERY
PROGRAM,PROGRAM MANAGEMENT SUPPORT SERVICES,19AQMM21F7091,DELOITTE CONSULTING LLP,264372686.1,195373430.1,Department of State,Department of State,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541611,,R499,3/16/2021,9/29/2026,65,WARM LEAD,PRIME ONLY,13,,,S4_EXPIRING,DISCOVERY
FRP,FRP 14 GQM-163A BASE TARGET VEHICLE,N0001921C0005,NORTHROP GRUMMAN SYSTEMS CORPORATION,231906532.6,244024463.4,Department of the Navy,Department of Defense,,CHANDLER,ARIZONA,,,,336414,,1410,11/3/2020,10/29/2027,65,WARM LEAD,DEEP,164,,,S4_EXPIRING,DISCOVERY
BIG,BIG SAFARI,FA862021F4703,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,231480446,211641655.3,Department of the Air Force,Department of Defense,,NASHUA,NEW HAMPSHIRE,,,,336413,,1680,6/30/2021,4/30/2027,65,WARM LEAD,DEEP,63,,,S4_EXPIRING,DISCOVERY
PURPOSE,THE PURPOSE OF THIS BPA CALL IS TO PROCURE SERVICES TO PROVIDE CONTINUOUS SUPPORT FOR DHS HEADQUARTERS OPERATIONS DIVISION (HOD) PROJECTS AND IT SERVICE DELIVERY IN ACCORDANCE WITH ATTACHMENT 2 STATEMENT OF WORK (SOW-67 PAGES) AND ATTACHMENT 3 TERMS,70RTAC21FC0000006,"CACI NSS, LLC",216025907,215344712.6,Office of Procurement Operations,Department of Homeland Security,,SPRINGFIELD,VIRGINIA,,,,541519,,DE01,3/2/2021,3/1/2026,65,WARM LEAD,DEEP,6,,,S4_EXPIRING,DISCOVERY
DESIGN,DESIGN OF MK 48 MOD 7 G&C SECTION&WES KIT,N0002419C6408,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",194494253,158110479,Department of the Navy,Department of Defense,,MANASSAS,VIRGINIA,,,,334511,,AC54,8/30/2019,10/31/2027,65,WARM LEAD,DEEP,107,,,S4_EXPIRING,DISCOVERY
PROCUREMENT,PROCUREMENT OF APY-10 RADAR SYSTEMS.,N0001921C0004,RAYTHEON COMPANY,189548650,188336405,Department of the Navy,Department of Defense,,MCKINNEY,TEXAS,,,,334511,,5841,2/19/2021,10/31/2027,65,WARM LEAD,PRIME ONLY,134,,,S4_EXPIRING,DISCOVERY
ASARS-2B,ASARS-2B PRODUCTION,FA869122C2001,RAYTHEON COMPANY,186782925.8,181215215.5,Department of the Air Force,Department of Defense,,EL SEGUNDO,CALIFORNIA,,,,334511,,5841,9/9/2022,12/15/2027,65,WARM LEAD,PRIME ONLY,270,,,S4_EXPIRING,DISCOVERY
TACTICAL,TACTICAL INTEGRATION SERVICES,N0016724F0089,LOCKHEED MARTIN CORPORATION,10813115.31,9798607.87,Department of the Navy,Department of Defense,,BETHESDA,MARYLAND,,,,541990,,R425,3/29/2024,3/25/2026,65,WARM LEAD,DEEP,21,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
,,N0001904C3146,THE BOEING COMPANY,5247988.31,7618132874,,,,TUKWILA,WASHINGTON,,,,336411,,1510,6/29/2004,8/31/2026,65,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
VBA,VBA DGIB SUPPORT SERVICES PURCHASE,36C10D24F0021,ACCENTURE FEDERAL SERVICES LLC,539166353.6,351032717.9,Department of Veterans Affairs,Department of Veterans Affairs,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541512,,R499,12/30/2023,12/29/2027,64,WARM LEAD,PRIME ONLY,147,,,S4_EXPIRING,DISCOVERY
ORIGINS,"ORIGINS SPECTRAL INTERPRETATION RESOURCE IDENTIFICATION SECURITY-REGOLITH EXPLORER (OSIRIS-REX) PHASE B EFFORT.  UNDER THIS CONTRACT, THE CONTRACTOR SHALL PROVIDE THE RESOURCES NECESSARY TO COMPLETE MISSION DESIGN AND REQUIREMENTS FLOW DOWN ACTIVITIES CULMINATING IN AN OSIRIS-REX PROJECT MISSION DESIGN REVIEW (MDR). THE CONTRACTOR SHALL PROVIDE THE RESOURCES NECESSARY TO SUPPORT THE OSIRIS-REX PROJECT TO DEFINE AND COMPLETE THE DEFINITION OF THE PRELIMINARY DESIGN, AND THE PLANS FOR DEVELOPMENT,",NNG12FD66C,LOCKHEED MARTIN CORP,456347715,437345131,,,,LITTLETON,COLORADO,,,,336414,,1820,1/19/2012,3/31/2027,64,WARM LEAD,DEEP,184,,,S4_EXPIRING,DISCOVERY
TASK,IGF:OT:IGF TASK ORDER AWARD FOR MPRA REQUIREMENT.,47QFCA20F0016,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",455595326,452112036.1,Federal Acquisition Service,General Services Administration,,ALEXANDRIA,VIRGINIA,,,,541712,,AZ12,1/31/2020,6/30/2027,64,WARM LEAD,PRIME ONLY,395,,,S4_EXPIRING,DISCOVERY
INCREMENTAL,INCREMENTAL FUNDING,19AQMM20F1777,NORTHROP GRUMMAN SYSTEMS CORPORATION,381469905.9,294928962.5,Department of State,Department of State,,MCLEAN,VIRGINIA,,,,541512,,D310,7/10/2020,6/3/2027,64,WARM LEAD,DEEP,80,,,S4_EXPIRING,DISCOVERY
BPA,"BPA ORDER 34, CONSOLIDATED SUPPORT SERVICES/ITIL ALIGNMENT ISSUED UNDER MASTER BPA NUMBER 89303019AIM000005",89303022FIM000088,ACCENTURE FEDERAL SERVICES LLC,366702739.3,297423443,Department of Energy,Department of Energy,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541512,,DD01,9/1/2022,8/31/2027,64,WARM LEAD,PRIME ONLY,328,,,S4_EXPIRING,DISCOVERY
COMMERCIAL,"IGF::OT::IGF THE COMMERCIAL CREW PROGRAM (CCP) COMMERCIAL CREW TRANSPORTATION CAPABILITY (CCTCAP) CONTRACT WILL PROVIDE COMPLETION OF THE DESIGN, DEVELOPMENT, TEST, EVALUATION, AND CERTIFICATION OF AN INTEGRATED CREW TRANSPORTATION SYSTEM (CTS) CAPABLE OF TRANSPORTING NASA CREW TO AND FROM THE ISS, IN ACCORDANCE WITH THE DESIGN REFERENCE MISSIONS AND NASA'S CERTIFICATION STANDARDS AND REQUIREMENTS.  CERTIFICATION OF THE CTS WILL BE DETERMINED BY NASA.  NASA PLANS TO ISSUE TASK ORDERS FOR POST CE",NNK16MA04T,THE BOEING COMPANY,363607889,254336536,,,,ORLANDO,FLORIDA,,,,336414,,V126,12/18/2015,5/31/2027,64,WARM LEAD,DEEP,331,,,S4_EXPIRING,DISCOVERY
IDIQ,IDIQ ENGINEERING AND TECHNICAL SERVICES,N0002424F6220,Lockheed Martin Corporation,179712917.3,130757244.1,Department of the Navy,Department of Defense,,LIVERPOOL,NEW YORK,,,,334511,,5865,2/15/2024,2/14/2029,64,WARM LEAD,DEEP,36,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
ANNUAL,"ANNUAL MATERIAL ORDERS PLACED DURING G3 PHASE II, ORDERING PERIOD VI (01 NOV 2025 - 31 OCT 2026)",FA852626FB002,THE BOEING COMPANY,772252405.4,265202312.7,Department of the Air Force,Department of Defense,,SAN ANTONIO,TEXAS,,,,336411,,R499,11/1/2025,10/31/2026,63,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
,THIS TASK ORDER IS CREATED FOR OPERATION AND SUSTAINMENT OF THE STAMP FOLLOW-ON REQUIREMENT.,W56KGY20F0067,"LEIDOS, INC.",700031516.5,372110035.2,,,TS/SCI w/ Poly,,,,,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); Intel / SIGINT / EW; Network Engineering; Program Management; Software Development,,,,,,63,WARM LEAD,DEEP,376,,WARM,S3_PRIME_DEEP_DIVE,"DISCOVERY,GREENFIELD"
,FUNDING CORE   BASE PERIOD  IGF::OT::IGF,142,GENERAL DYNAMICS INFORMATION TECHNOLOGY INC.,665344887.9,666471486.8,,,Secret,,,,,Cybersecurity / IA; Data / Analytics; Engineering Services; Software Development,,,,,,63,WARM LEAD,DEEP,88,,WARM,S3_PRIME_DEEP_DIVE,"DISCOVERY,GREENFIELD"
,"FULL-SPECTRUM INTELLIGENCE, SURVEILLANCE & RECONNAISSANCE (ISR), INNOVATION AND INTEGRATION-3 (F3I-3)",FA875023F0080,"CACI, INC. - FEDERAL",648043253,284825143.7,,,,,,,,,,,,,,63,WARM LEAD,DEEP,100,,,S3_PRIME_DEEP_DIVE,DISCOVERY
FY26,FY26 VIRTUAL FLEET COMMON AND UNIQUE LABOR SUSTAINMENT FOR C17 FLEET,FA852626FB001,THE BOEING COMPANY,501114329,160059318.6,Department of the Air Force,Department of Defense,,LONG BEACH,CALIFORNIA,,,,336411,,R499,11/1/2025,10/31/2026,63,WARM LEAD,DEEP,0,,,S4_EXPIRING,DISCOVERY
,"ENTERPRISE ACTIVITIES FOR MHS GENESIS STAGE 4, PROGRAM MANAGEMENT, SUSTAINMENT, REGIONAL TRAINERS, LICENSES, AND MAINTEN",HT003818F0004,"LEIDOS, INC.",476907312.4,474899181.9,,,TS/SCI w/ Poly,,,,,Cybersecurity / IA; Data / Analytics; Engineering (HW/Systems); IT Services; Intel / SIGINT / EW; Medical / Health IT; Network Engineering; Program Management; Software Development,,,,,,63,WARM LEAD,DEEP,101,,WARM,S3_PRIME_DEEP_DIVE,"DISCOVERY,GREENFIELD"
